report_id,category,true_incident_id
R-1001,slow_pipe_leak,INC-002
R-1002,slow_pipe_leak,INC-002
R-1003,water_main_leak,INC-001
R-1004,waterlogging,NONE
R-1005,water_main_leak,INC-001
R-1006,water_main_leak,INC-001
R-1007,sewer_overflow,INC-003
R-1008,sewer_overflow,INC-003
R-1009,sewer_overflow,INC-003
R-1010,slow_pipe_leak,INC-002
R-1011,slow_pipe_leak,INC-002
R-1012,waterlogging,NONE
R-1013,non_water_issue,NONE
R-1014,slow_pipe_leak,INC-002
R-1015,water_main_leak,INC-001
R-1016,sewer_overflow,INC-003
R-1017,non_water_issue,NONE
R-1018,water_main_leak,INC-001
R-1019,water_main_leak,INC-001
R-1020,water_main_leak,INC-001
R-1021,sewer_overflow,INC-003
R-1022,non_water_issue,NONE
R-1023,waterlogging,NONE
R-1024,slow_pipe_leak,INC-002
R-1025,sewer_overflow,INC-003
R-1026,waterlogging,NONE
R-1027,waterlogging,NONE
R-1028,slow_pipe_leak,INC-002
R-1029,non_water_issue,NONE
R-1030,slow_pipe_leak,INC-002
R-1031,waterlogging,NONE
R-1032,non_water_issue,NONE
R-1033,waterlogging,NONE
R-1034,sewer_overflow,INC-003
R-1035,waterlogging,NONE
R-1036,non_water_issue,NONE
R-1037,water_main_leak,INC-001
R-1038,waterlogging,NONE
R-1039,water_main_leak,INC-001
R-1040,water_main_leak,INC-001
R-1041,sewer_overflow,INC-003
R-1042,waterlogging,NONE
R-1043,water_main_leak,INC-001
R-1044,waterlogging,NONE
R-1045,sewer_overflow,INC-003
R-1046,water_main_leak,INC-001
R-1047,waterlogging,NONE
R-1048,water_main_leak,INC-001
R-1049,non_water_issue,NONE
R-1050,waterlogging,NONE
R-1051,non_water_issue,NONE
R-1052,slow_pipe_leak,INC-002
R-1053,waterlogging,NONE
R-1054,water_main_leak,INC-001
R-1055,sewer_overflow,INC-003
R-1056,water_main_leak,INC-001
R-1057,slow_pipe_leak,INC-002
R-1058,water_main_leak,INC-001
R-1059,water_main_leak,INC-001
R-1060,water_main_leak,INC-001
R-1061,water_main_leak,INC-001
R-1062,slow_pipe_leak,INC-002
R-1063,non_water_issue,NONE
R-1064,waterlogging,NONE
R-1065,water_main_leak,INC-001
R-1066,waterlogging,NONE
R-1067,slow_pipe_leak,INC-002
R-1068,waterlogging,NONE
R-1069,water_main_leak,INC-001
R-1070,non_water_issue,NONE
R-1071,non_water_issue,NONE
R-1072,slow_pipe_leak,INC-002
R-1073,water_main_leak,INC-001
R-1074,water_main_leak,INC-001
R-1075,sewer_overflow,INC-003
R-1076,water_main_leak,INC-001
R-1077,water_main_leak,INC-001
R-1078,water_main_leak,INC-001
R-1079,slow_pipe_leak,INC-002
R-1080,waterlogging,NONE
R-1081,waterlogging,NONE
R-1082,waterlogging,NONE
R-1083,waterlogging,NONE
R-1084,water_main_leak,INC-001
R-1085,waterlogging,NONE
R-1086,sewer_overflow,INC-003
R-1087,water_main_leak,INC-001
R-1088,sewer_overflow,INC-003
R-1089,waterlogging,NONE
R-1090,non_water_issue,NONE
R-1091,sewer_overflow,INC-003
R-1092,water_main_leak,INC-001
R-1093,waterlogging,NONE
R-1094,non_water_issue,NONE
R-1095,non_water_issue,NONE
R-1096,water_main_leak,INC-001
R-1097,non_water_issue,NONE
R-1098,slow_pipe_leak,INC-002
R-1099,waterlogging,NONE
R-1100,sewer_overflow,INC-003
