report_id,timestamp,latitude,longitude,description,image_path,category
R-1001,2026-09-04T16:10:48,12.978271,79.164957,A very faint stream of water is trickling out from under the curb on Washington Boulevard. Its been leaking like this for at least a day and a half now.,images/trickle_03.jpg,slow_pipe_leak
R-1002,2026-09-05T12:29:04,12.978209,79.16484,"There is a constant damp spot right in front of our mailbox that never goes away. It seems like a minor underground leak is feeding a tiny, slow-moving puddle.",images/trickle_01.jpg,slow_pipe_leak
R-1003,2026-09-04T12:43:28,12.971388,79.158477,Critical emergency situation: An underground water pipe has completely failed on Pine Street. High-pressure water is flooding lanes and destroying the road.,images/burst_02.jpg,water_main_leak
R-1004,2026-09-04T19:12:18,12.968009,79.145569,Afternoon rain caused terrible flooding in our neighborhood. Stagnant rainwater is filling the potholes and spanning the whole road.,images/waterlog_03.jpg,waterlogging
R-1005,2026-09-04T09:15:58,12.97154,79.158259,Critical water main failure on Hawthorne Street. Intense bubbling and gushing water is eroding the road foundation and creating a dangerous hazard.,images/burst_01.jpg,water_main_leak
R-1006,2026-09-04T08:14:00,12.971581,79.158422,Urgent hazard: Massive underground water main rupture on Washington Boulevard. Heavy water flow is lifting the pavement slabs and flooding storefronts.,images/burst_05.jpg,water_main_leak
R-1007,2026-09-05T14:58:52,12.983229,79.152341,"Sewer line is blocked up and dirty black water is bubbling out of the storm drain. Smells terrible out here, fix this please.",images/drain_02.jpg,sewer_overflow
R-1008,2026-09-05T14:40:24,12.98331,79.152307,The manhole cover on 5th street has popped off and dark foul-smelling waste water is gushing out all over the road. It smells awful out here.,images/drain_02.jpg,sewer_overflow
R-1009,2026-09-05T12:20:33,12.983816,79.152195,Dislodged drain grate with foul-smelling waste water pouring out onto the pavement. The odor is totally nauseating.,images/drain_02.jpg,sewer_overflow
R-1010,2026-09-05T03:37:25,12.978279,79.164689,A slow trickle of clear water has been running down the gutter near my driveway since Saturday morning. There hasnt been any rain so I think a pipe is weeping underground.,images/trickle_04.jpg,slow_pipe_leak
R-1011,2026-09-04T22:07:20,12.978045,79.164865,Water keeps bubbling up through a tiny hole in the asphalt on 7th street. It is a very slow leak but has been active continuously since yesterday morning.,images/trickle_01.jpg,slow_pipe_leak
R-1012,2026-09-04T17:52:17,12.960828,79.140422,Slow drainage is causing major backups on Cedar Avenue after the heavy rainstorm. A huge puddle is blocking traffic flow.,images/waterlog_03.jpg,waterlogging
R-1013,2026-09-05T07:54:54,12.973304,79.170692,Some lazy jerk dumped an old mattress and a bunch of trash bags right on the sidewalk by the bus stop on Pine Avenue. It's blocking the walkway and smelling awful in this heat.,images/noise_01.jpg,non_water_issue
R-1014,2026-09-05T03:52:45,12.978297,79.164897,Noticed a soft spot in the pavement on Oak street where water keeps bubbling up very slowly. It has been doing this for over 24 hours without stopping.,images/trickle_01.jpg,slow_pipe_leak
R-1015,2026-09-04T11:39:12,12.971489,79.158205,Urgent incident: Major underground water pipe burst on Industrial Parkway. Tremendous volume of water is flooding the area and destabilizing tarmac.,images/burst_06.jpg,water_main_leak
R-1016,2026-09-05T10:18:19,12.983574,79.151768,Storm drain in front of my house is completely blocked and backing up thick dirty black water onto the sidewalk. Please send help asap.,images/drain_01.jpg,sewer_overflow
R-1017,2026-09-05T00:26:22,12.964161,79.13911,Tree roots have pushed up the concrete on the sidewalk along Washington Street so badly that my elderly neighbor tripped and fell yesterday. Please fix this tripping hazard before someone gets hurt.,images/noise_01.jpg,non_water_issue
R-1018,2026-09-04T13:44:17,12.971707,79.15861,Immediate dispatch required: catastrophic water main break on Roosevelt Avenue. Rushing water is causing immediate road collapse and severe flooding.,images/burst_01.jpg,water_main_leak
R-1019,2026-09-04T08:23:32,12.971608,79.158476,Emergency alert: Massive rupture of the primary water line on Sunset Strip. Rapid flooding is occurring and the roadway is breaking apart.,images/burst_05.jpg,water_main_leak
R-1020,2026-09-04T08:51:08,12.971734,79.158343,"pipe broke under the road on university ave and water is shooting up. pavement is cracking all over the place, please send crews fast.",images/burst_01.jpg,water_main_leak
R-1021,2026-09-05T14:11:17,12.983553,79.15197,Manhole is overflowing with black sludge and stinky wastewater. Major health hazard blocking the whole sidewalk.,images/drain_03.jpg,sewer_overflow
R-1022,2026-09-04T06:25:05,12.959397,79.140439,There is a stray pit mix wandering around the Maplewood neighborhood looking aggressive and digging through people's trash cans. Animal control needs to come pick it up ASAP.,images/noise_01.jpg,non_water_issue
R-1023,2026-09-04T21:15:36,12.957399,79.145439,The alleyway behind the diner is filled with stagnant rainwater from the storm. It smells bad and has nowhere to drain.,images/waterlog_03.jpg,waterlogging
R-1024,2026-09-05T03:14:56,12.978165,79.164784,A small area of the street near the park entrance has been wet for days. Water is gently seeping up through the seams in the concrete without any pressure.,images/trickle_04.jpg,slow_pipe_leak
R-1025,2026-09-05T11:57:32,12.9835,79.152105,"Drain backing up with dirty black water in our alley. It smells like pure sulfur and rotten eggs, completely unbearable.",images/drain_03.jpg,sewer_overflow
R-1026,2026-09-04T18:50:19,12.971878,79.152108,Slow drainage near the market after the afternoon storm. Standing rainwater covers the turning lane and half the sidewalk.,images/waterlog_01.jpg,waterlogging
R-1027,2026-09-04T16:25:29,12.973659,79.141665,Standing puddles spanning a whole lane on 5th street right now because the afternoon rain was too much for the old drainage system.,images/waterlog_05.jpg,waterlogging
R-1028,2026-09-04T18:04:09,12.978188,79.164709,Water is weeping through the cracks in the street near the intersection of Maple and 2nd. It has formed a thin film of water that stays there all day and night.,images/trickle_02.jpg,slow_pipe_leak
R-1029,2026-09-04T08:26:07,12.97145,79.13508,An abandoned car with flat tires and smashed windows has been parked in our cul-de-sac for over a month now. It's taking up valuable parking and looks like an eyesore.,images/noise_02.jpg,non_water_issue
R-1030,2026-09-04T09:44:52,12.978105,79.164884,The grass strip between the sidewalk and the street on Pine Road is completely waterlogged. A tiny stream of water has been oozing out of the dirt constantly.,images/trickle_02.jpg,slow_pipe_leak
R-1031,2026-09-04T17:17:06,12.962101,79.150114,Big puddles spanning a lane on 8th street after yesterday's rain. The storm drain is totally clogged with leaves and debris.,images/waterlog_01.jpg,waterlogging
R-1032,2026-09-04T09:01:38,12.984238,79.141588,Weeds and overgrown bushes from the vacant lot on 9th Street are spilling over the sidewalk so much that people have to walk in the actual street to get by.,images/noise_01.jpg,non_water_issue
R-1033,2026-09-04T17:08:19,12.962816,79.13921,"The heavy afternoon downpour completely overwhelmed the storm drain on Elm Street, leaving a massive pool of stagnant rainwater blocking the entire eastbound lane.",images/waterlog_02.jpg,waterlogging
R-1034,2026-09-05T14:24:54,12.983313,79.151645,Drain cover was pushed aside and now stinky wastewater is flooding the parking lot. You can smell the foul waste water from a block away.,images/drain_03.jpg,sewer_overflow
R-1035,2026-09-04T16:46:47,12.956832,79.141609,Massive puddle spanning an entire lane on Sunset Blvd due to poor drainage during the heavy rain earlier today.,images/waterlog_04.jpg,waterlogging
