report_id,timestamp,latitude,longitude,description,category,severity,image_path
R-2001,2026-09-04T00:05:52,13.005134,79.164989,"The storm drain on the corner of 5th and Elm is completely clogged with wet leaves and debris, causing water to pool over the curb every time it drizzles.",drain_blockage,58,images/drain_02.jpg
R-2002,2026-09-04T00:24:59,12.949934,79.174936,There is a tiny puddle near the curb that never dries up even in the hot sun. It has been there since yesterday afternoon and it hasn't rained.,pipe_leak,44,images/trickle_04.jpg
R-2003,2026-09-04T00:28:31,12.944912,79.145135,"Raw sewage is bubbling up right out of the manhole cover near the bus stop, smells terrible.",sewer_overflow,66,images/drain_03.jpg
R-2004,2026-09-04T00:46:24,12.959999,79.18187,There is a deep pothole right on the corner of Elm and 4th that almost wrecked my tire this morning.,normal_road,10,images/noise_05.jpg
R-2005,2026-09-04T00:50:20,12.954935,79.134981,Black wastewater is backing up onto the sidewalk on 4th street and it's making people gag from the smell.,sewer_overflow,77,images/drain_01.jpg
R-2006,2026-09-04T00:56:35,13.002389,79.148103,Streetlight outside number 42 has been flickering constantly for three nights straight and needs a new bulb.,normal_road,14,images/noise_02.jpg
R-2007,2026-09-04T01:12:56,12.992375,79.131692,Someone dumped a massive pile of old mattresses and trash bags right next to the public recycling bins.,normal_road,19,images/noise_05.jpg
R-2008,2026-09-04T01:14:57,12.954847,79.134883,There is foul smelling dirty water spilling out of the storm drain intersection. Plz send help.,sewer_overflow,64,images/drain_04.jpg
R-2009,2026-09-04T01:35:29,12.994966,79.184643,Standing water is getting deeper near the catch basin in front of our driveway because trash bags are blocking the grates.,drain_blockage,62,images/drain_05.jpg
R-2010,2026-09-04T01:50:31,12.974735,79.155111,Drain grate is covered in thick sludge and plastic bottles. Water is backing up into the street and won't go down.,drain_blockage,72,images/drain_02.jpg
R-2011,2026-09-04T01:56:07,12.95721,79.165741,A very skittish stray dog has been hanging around the playground area near the community center all afternoon.,normal_road,18,images/noise_03.jpg
R-2012,2026-09-04T02:17:27,12.988418,79.178204,The stop sign on Oak street is completely twisted around and hard for drivers to see coming from the west.,normal_road,15,images/noise_06.jpg
R-2013,2026-09-04T02:27:07,12.978702,79.174541,"Concrete slab on the sidewalk by the bus stop is lifted up pretty high, creating a bad tripping hazard.",normal_road,20,images/noise_04.jpg
R-2014,2026-09-04T02:36:00,12.982452,79.170491,"Weird dark damp patch on the pavement in the alley behind Main Street, not sure what it is but it smells a bit.",normal_road,16,images/noise_02.jpg
R-2015,2026-09-04T02:37:35,12.945092,79.145086,Manhole overflowing with disgusting brown sludge right in front of my driveway.,sewer_overflow,60,images/drain_01.jpg
R-2016,2026-09-04T02:38:00,12.995128,79.184787,Major backup on elm street. Black waste water is pooling all over the pavement and stinks to high heaven.,sewer_overflow,68,images/drain_05.jpg
R-2017,2026-09-04T02:48:27,12.975045,79.15492,Hey someone needs to clear the storm drain on Maple St. The whole cover is jammed with sticks and dirty water is spilling into people's yards.,drain_blockage,63,images/drain_04.jpg
R-2018,2026-09-04T02:57:23,12.950107,79.175013,Water keeps seeping out from under the asphalt right by the mailbox. Its just a small constant trickle that makes a little swamp patch.,pipe_leak,52,images/trickle_04.jpg
R-2019,2026-09-04T03:00:30,12.974994,79.154968,The sewer main seems busted cause gross smelly water is coming up from the street grate.,sewer_overflow,61,images/drain_02.jpg
R-2020,2026-09-04T03:01:08,12.995126,79.185094,"The drain is blocked solid with dirt and pine needles. Whenever it rains hard, dirty water pools up right by the pedestrian crosswalk.",drain_blockage,55,images/drain_01.jpg
R-2021,2026-09-04T03:18:00,13.005208,79.164739,Water is pooling near the storm drain cover on Oak Avenue. The grate looks jammed with construction debris or gravel.,drain_blockage,52,images/drain_03.jpg
R-2022,2026-09-04T03:32:59,12.986207,79.132612,Huge crack forming across the pedestrian crossing on Pine Avenue that needs patching up soon.,normal_road,25,images/noise_03.jpg
R-2023,2026-09-04T03:47:25,12.94492,79.145008,Standing water mixed with sewage is flooding the sidewalk near the park entrance. Horrible odor!,sewer_overflow,65,images/drain_01.jpg
R-2024,2026-09-04T03:51:57,13.004987,79.164895,Manhole is overflowing near my apartment building. Dark murky water everywhere and it smells like a dead animal.,sewer_overflow,74,images/drain_01.jpg
R-2025,2026-09-04T03:55:34,12.980226,79.134011,The street lamp pole near the park entrance looks like it got backed into and is leaning at a weird angle.,normal_road,15,images/noise_03.jpg
R-2026,2026-09-04T04:09:09,13.003585,79.17537,Bag of garbage ripped open by raccoons spread all over the sidewalk in front of the vacant lot.,normal_road,13,images/noise_06.jpg
R-2027,2026-09-04T04:30:51,12.994895,79.185155,Disgusting black wastewater is overflowing from the street manhole and running down the gutter.,sewer_overflow,69,images/drain_01.jpg
R-2028,2026-09-04T04:38:14,12.975078,79.154909,Massive puddle forming because the drain grate is plugged up with garbage. Pls send someone to clean it out before it floods the sidewalk.,drain_blockage,65,images/drain_04.jpg
R-2029,2026-09-04T04:52:03,12.974913,79.155023,The storm drain by the bus stop is totally jammed up. Nasty brown water is backing up and splashing onto people waiting for the bus.,drain_blockage,63,images/drain_01.jpg
R-2030,2026-09-04T04:57:41,12.949446,79.165453,"Cat stuck up in the oak tree near number 15 for at least two days now, meowing constantly.",normal_road,5,images/noise_01.jpg
R-2031,2026-09-04T05:08:31,12.971634,79.1585,"Massive water main burst on 5th Ave, water is shooting like six feet into the air and tearing up the asphalt right in front of the diner!",water_main_leak,76,images/burst_02.jpg
R-2032,2026-09-04T05:12:28,12.971495,79.158246,OMG there is a massive geyser shooting right up through the middle of Elm street near 5th. Water is gushing everywhere and the whole intersection is flooding fast!,pipe_leak,79,images/burst_03.jpg
R-2033,2026-09-04T05:13:39,12.954793,79.169849,"Urgent: A huge underground pipe cracked open near the intersection, causing a heavy flow of water that is flooding the entire road in seconds.",water_main_leak,75,images/burst_07.jpg
R-2034,2026-09-04T05:19:15,12.945072,79.144961,"Clogged storm drain on Pine street is causing a huge puddle of stagnant, dirty water to sit right by the bike lane.",drain_blockage,69,images/drain_06.jpg
R-2035,2026-09-04T05:31:57,13.005101,79.165166,There is a massive sewage leak coming out of the manhole on maple ave. The stench is unreal.,sewer_overflow,77,images/drain_04.jpg
R-2036,2026-09-04T05:33:12,12.971618,79.158481,omg the street is totally buckling on Elm St cause a huge water main broke and its just gushing everywhere filling up car tires!,water_main_leak,78,images/burst_06.jpg
R-2037,2026-09-04T05:33:48,12.971675,79.158568,"Critical emergency report: Severe water main rupture creating a massive geyser, asphalt is actively crumbling and traffic is completely blocked by rushing water.",water_main_leak,79,images/burst_08.jpg
R-2038,2026-09-04T05:36:27,12.955064,79.169914,"Water is bubbling up violently through huge cracks in the pavement on Oak street, looks like a major main gave out and it's starting to flood driveways.",water_main_leak,81,images/burst_06.jpg
